,release_year,genre
646,2017,"Adventure,RPG,Strategy"
647,2017,Indie
648,2018,Action
649,2013,"Casual,Indie,Simulation,Strategy"
650,2016,"Adventure,Indie,RPG"
651,2018,"Action,Simulation"
652,2018,"Action,RPG"
653,2002,"Simulation,Strategy"
654,1999,"Simulation,Strategy"
655,2018,"Adventure,RPG"
656,2004,Action
657,2015,"Action,Adventure,Indie,Early Access"
658,2017,"Action,Indie,Simulation,Early Access"
659,2017,Action
660,2015,"Action,Casual,Indie"
661,2017,"Action,Adventure,Casual,Free to Play,Indie"
662,2011,Action
663,2018,"Animation & Modeling,Design & Illustration"
664,2018,"Indie,Massively Multiplayer,RPG,Early Access"
665,2014,"Indie,RPG,Strategy"
666,2015,Action
667,2017,"Action,Adventure,RPG,Early Access"
668,2018,"Action,Indie,Early Access"
669,2010,RPG
670,2017,"Adventure,Indie,Simulation"
671,2016,"Action,Adventure"
672,2015,Action
673,2017,"Adventure,Indie,Strategy"
674,2017,Action
675,2014,"RPG,Strategy"
676,2015,"Action,Indie,Strategy"
677,2007,"Action,RPG"
678,nan,Strategy
679,2019,"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Strategy,Early Access"
680,2012,"Action,Adventure,Indie,RPG"
681,2016,"Adventure,Free to Play,RPG,Strategy"
682,2018,"Action,Indie,RPG,Strategy"
683,2016,"Indie,Simulation,Strategy,Early Access"
684,nan,"Indie,RPG,Strategy"
685,2014,"Simulation,Strategy"
686,2014,"Adventure,Indie,Early Access"
687,2018,"Action,Adventure,Indie"
688,2018,"Simulation,Strategy"
689,2003,"Simulation,Strategy"
690,2015,"Casual,Free to Play,Indie"
691,2016,"Action,Indie,Simulation"
692,nan,"RPG,Strategy"
693,2018,"Action,Indie,Sports"
694,2016,"Action,Adventure,Casual,Indie,Simulation"
695,2018,"Indie,Simulation,Early Access"
696,2005,RPG
697,2018,Action
698,2010,RPG
699,2018,"Action,Indie,Simulation,Sports"
700,2018,"Action,Indie,Simulation,Sports,Early Access"
701,2016,"Action,Adventure,Casual,Indie,Massively Multiplayer,Early Access"
702,2015,"Adventure,Indie,Early Access"
703,2017,Action
704,nan,
705,2019,"Casual,Indie,Strategy"
706,nan,"RPG,Strategy"
707,2019,"Simulation,Strategy,Early Access"
708,2019,"Action,Free to Play"
709,2018,"Action,Indie,Racing,Simulation,Sports,Early Access"
710,2011,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
711,2010,RPG
712,2011,Action
713,nan,"Simulation,Strategy"
714,2018,"Indie,RPG,Simulation"
715,2019,"Action,Adventure,RPG"
716,2016,"Indie,Racing,Simulation,Early Access"
717,2012,Strategy
718,2014,Indie
719,nan,Adventure
720,2019,"Free to Play,Indie,Strategy,Early Access"
721,nan,Indie
722,2018,"Action,Adventure,Casual,Indie,Massively Multiplayer,Early Access"
723,2015,Action
724,2019,"Action,Adventure,Indie,RPG,Early Access"
725,2017,Action
726,2009,Adventure
727,2016,Utilities
728,2003,"Adventure,RPG"
729,2019,"Adventure,Indie,Early Access"
730,2017,"Casual,Indie,RPG,Strategy,Early Access"
731,2017,"Design & Illustration,Early Access"
732,2019,"Indie,Simulation,Strategy,Early Access"
733,2014,"Action,Adventure"
734,2014,"Simulation,Strategy"
735,2019,"Action,Adventure,Casual,Massively Multiplayer,RPG,Strategy"
736,2014,Action
737,2012,"Indie,Simulation,Strategy"
738,2019,"Action,Adventure,Free to Play,RPG,Simulation"
739,2019,"Action,Indie"
740,2018,RPG
741,2017,"Simulation,Strategy"
742,2018,"Indie,Simulation,Sports"
743,2018,"Adventure,Indie,RPG,Simulation"
744,2014,"Action,Adventure,Casual,Indie"
745,2016,"Action,RPG"
746,2014,"Action,Adventure,Indie"
747,2017,"Action,Indie,Strategy"
748,2017,"Action,Adventure"
749,2018,"Action,Adventure,Indie"
750,2018,"Action,Adventure,Indie,RPG"
751,2014,"Indie,Simulation,Strategy"
752,2016,"Simulation,Early Access"
753,2013,"Racing,Sports"
754,2018,Adventure
755,nan,Action
756,2002,RPG
757,2013,"Casual,Free to Play,RPG"
758,2013,"Indie,RPG,Simulation,Early Access"
759,2015,"Design & Illustration,Web Publishing"
760,2012,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
761,2015,"Indie,Strategy"
762,2017,"Action,Free to Play,Early Access"
763,2018,Simulation
764,2017,Action
765,2010,Strategy
766,2013,"Action,Adventure"
767,nan,Action
768,2017,"Indie,Simulation,Strategy"
769,nan,Strategy
770,2019,"Action,Indie,RPG"
